iter	MultiClass
0	1.044487088
1	1.000154842
2	0.9638726092
3	0.9331694687
4	0.9072291795
5	0.8853166857
6	0.8664597166
7	0.8498772729
8	0.8352732827
9	0.8225512441
10	0.8116799377
11	0.8020138083
12	0.7935074098
13	0.7858756867
14	0.7794497249
15	0.7733831114
16	0.7682380088
17	0.7636680606
18	0.7591891368
19	0.7555717885
20	0.7521493028
21	0.7490701702
22	0.7461677872
23	0.7436902562
24	0.7412124795
25	0.7391776605
26	0.7373942263
27	0.7354566088
28	0.7337863478
29	0.7321929407
30	0.7305692879
31	0.7291544392
32	0.7277715152
33	0.7263499659
34	0.7251288896
35	0.7240276075
36	0.722806247
37	0.7214572771
38	0.7203870387
39	0.7192714689
40	0.718139855
41	0.7170088484
42	0.7159602143
43	0.7149549272
44	0.7139653066
45	0.7129531636
46	0.7121048053
47	0.7111706574
48	0.7098587852
49	0.7085696603
50	0.7077350781
51	0.7069246524
52	0.7060560768
53	0.705139718
54	0.7042522861
55	0.7034636465
56	0.7027005691
57	0.7018502236
58	0.7010025195
59	0.7003709427
60	0.699604217
61	0.6988722681
62	0.6981676289
63	0.6974381496
64	0.6968001057
65	0.6961138717
66	0.6954105054
67	0.694756473
68	0.6941929957
69	0.6935475122
70	0.6927436096
71	0.6922668406
72	0.6916009521
73	0.6910294059
74	0.6903820654
75	0.6898272607
76	0.6893406944
77	0.6886585525
78	0.6880701862
79	0.6875192532
80	0.6869730756
81	0.6864304409
82	0.6859183012
83	0.6853552604
84	0.684829997
85	0.6843857215
86	0.6838383659
87	0.6832359775
88	0.6827092421
89	0.6822061615
90	0.6816012249
91	0.6811148527
92	0.6806160137
93	0.6800736585
94	0.6795784433
95	0.679118596
96	0.678680129
97	0.6782716532
98	0.6778219492
99	0.6773386882
100	0.6769377597
101	0.6764599453
102	0.675968107
103	0.6756045971
104	0.6750979571
105	0.6746687655
106	0.6741736116
107	0.6737173322
108	0.6732368995
109	0.6724462025
110	0.6720187944
111	0.671663588
112	0.6711673451
113	0.670742018
114	0.6702614695
115	0.6697515976
116	0.669279514
117	0.6688918295
118	0.6684463268
119	0.6680540969
120	0.6676422343
121	0.6672975792
122	0.6669199697
123	0.6663955875
124	0.6659590916
125	0.6655075751
126	0.6650364195
127	0.6646546155
128	0.6642553116
129	0.6638708099
130	0.6634370569
131	0.6627937438
132	0.662439467
133	0.6618601087
134	0.6614870117
135	0.6610245002
136	0.6606957507
137	0.6603159186
138	0.6599231883
139	0.6595736794
140	0.6592291159
141	0.6588978983
142	0.6585688484
143	0.6581662022
144	0.6577959353
145	0.6573223487
146	0.6569533945
147	0.6565808717
148	0.6562548991
149	0.6559515052
150	0.6554514606
151	0.6549212862
152	0.6545825938
153	0.6542037321
154	0.6538494701
155	0.6534679894
156	0.6530988849
157	0.6526985283
158	0.6524211058
159	0.6521885552
160	0.6518739252
161	0.6515289018
162	0.651236304
163	0.6508906748
164	0.6505293448
165	0.6502101693
166	0.6499083512
167	0.6496016469
168	0.6493317813
169	0.6490458292
170	0.64877491
171	0.6484588467
172	0.6481740307
173	0.6478889476
174	0.6476632086
175	0.6473671812
176	0.6469753618
177	0.6467050346
178	0.6464254523
179	0.6460689549
180	0.6457575577
181	0.6454955065
182	0.6452407267
183	0.6449407834
184	0.6446729843
185	0.6444049704
186	0.6441305641
187	0.6437177268
188	0.6434292299
189	0.6431691405
190	0.6428960358
191	0.6426616188
192	0.6424068312
193	0.6421239277
194	0.6418554062
195	0.6415709993
196	0.6413595352
197	0.6410459846
198	0.64081218
199	0.6405757709
200	0.6403036645
201	0.6400720018
202	0.6397502409
203	0.639501082
204	0.6392797236
205	0.6390441211
206	0.6388254478
207	0.6386031721
208	0.6384032388
209	0.6381334207
210	0.6378880579
211	0.6376215886
212	0.6373810826
213	0.6371289847
214	0.6369200781
215	0.6366986987
216	0.6364990097
217	0.6362654442
218	0.6360060904
219	0.6357929824
220	0.6355747539
221	0.6353578309
222	0.6351243444
223	0.6348694759
224	0.6346314201
225	0.6344276939
226	0.634164556
227	0.6338759095
228	0.6336515214
229	0.633386574
230	0.6331566976
231	0.632933581
232	0.6327268246
233	0.6325187301
234	0.6323300116
235	0.6321418471
236	0.6319230159
237	0.6316764449
238	0.6314820631
239	0.6312638237
240	0.6310231478
